epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,15238.1,0.82648,2.59438,0.00339,0.9438,0.91244,0.9525,0.75225,0.66799,2.40787,0.00392,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,16412.5,0.82265,2.55268,0.00336,0.94328,0.91439,0.95233,0.75263,0.66769,2.40508,0.00391,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17588.3,0.81899,2.55599,0.00335,0.94535,0.91198,0.95223,0.75248,0.66705,2.40633,0.0039,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,18765.4,0.81795,2.55003,0.00331,0.94578,0.91199,0.95388,0.75327,0.66618,2.40153,0.0039,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19941.9,0.81505,2.52472,0.00331,0.94342,0.91379,0.95237,0.7532,0.66512,2.40728,0.00389,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,21117.9,0.813,2.50724,0.00329,0.9448,0.91254,0.95243,0.75345,0.66496,2.40929,0.00389,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,22294.6,0.80567,2.47975,0.00327,0.94178,0.91508,0.95266,0.7541,0.66493,2.40155,0.00388,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,23468.6,0.7206,1.91463,0.00316,0.94757,0.90992,0.95275,0.75405,0.66423,2.40049,0.00388,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,24641.7,0.71452,1.8775,0.00312,0.94461,0.91162,0.9527,0.75423,0.66457,2.40316,0.00388,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25816.8,0.70866,1.85145,0.00309,0.94339,0.91376,0.95442,0.75454,0.66363,2.41176,0.00387,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26992.3,0.70325,1.8171,0.00302,0.9403,0.91703,0.95289,0.75446,0.66296,2.41206,0.00386,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,28167.7,0.69817,1.79537,0.00299,0.94124,0.9159,0.95455,0.75483,0.66373,2.41406,0.00386,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,29342.4,0.6919,1.75896,0.00295,0.94531,0.91334,0.95295,0.75451,0.66325,2.41009,0.00385,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,30519.1,0.68543,1.7289,0.0029,0.94538,0.91369,0.95289,0.75468,0.6635,2.41318,0.00386,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,31704.8,0.68029,1.70766,0.00286,0.94415,0.91473,0.95307,0.75566,0.66304,2.40698,0.00386,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,32887.5,0.67689,1.68477,0.00284,0.94425,0.91526,0.95294,0.75522,0.66379,2.41633,0.00386,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,34065.9,0.67248,1.66204,0.00281,0.94261,0.91596,0.95305,0.7557,0.66353,2.42355,0.00386,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
