epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,71870.8,0.82025,2.64444,0.00337,0.93781,0.91537,0.95339,0.74884,0.67201,2.36942,0.00411,0.0003268,0.0003268,0.0003268
70,72933.1,0.82173,2.64697,0.00337,0.93826,0.91463,0.95375,0.74927,0.67217,2.38366,0.00412,0.0003169,0.0003169,0.0003169
71,73977.4,0.81917,2.61911,0.00337,0.93897,0.91359,0.95368,0.74937,0.672,2.36174,0.00412,0.000307,0.000307,0.000307
72,75016.9,0.81467,2.60253,0.00334,0.93908,0.91412,0.95433,0.75007,0.67144,2.36069,0.00411,0.0002971,0.0002971,0.0002971
73,76055.4,0.81595,2.62034,0.00335,0.93787,0.91448,0.95406,0.74982,0.67131,2.34759,0.00411,0.0002872,0.0002872,0.0002872
74,77091,0.81319,2.60638,0.00333,0.93754,0.91531,0.954,0.74938,0.67106,2.35088,0.0041,0.0002773,0.0002773,0.0002773
75,78123.3,0.81248,2.60664,0.00332,0.93685,0.91502,0.95394,0.74962,0.67075,2.35114,0.00409,0.0002674,0.0002674,0.0002674
76,79154.3,0.80951,2.57497,0.00333,0.93821,0.91446,0.95401,0.74971,0.67125,2.34718,0.0041,0.0002575,0.0002575,0.0002575
77,80187.9,0.8122,2.59094,0.00333,0.93745,0.91473,0.95427,0.74983,0.67135,2.37845,0.00409,0.0002476,0.0002476,0.0002476
78,81217.7,0.80764,2.56757,0.0033,0.9376,0.91491,0.95433,0.74982,0.67101,2.38652,0.00409,0.0002377,0.0002377,0.0002377
79,82247.5,0.80824,2.5835,0.00331,0.93799,0.91526,0.95411,0.75002,0.6711,2.384,0.00409,0.0002278,0.0002278,0.0002278
80,83277.1,0.80806,2.56127,0.0033,0.93868,0.9141,0.95414,0.75015,0.67048,2.39009,0.00408,0.0002179,0.0002179,0.0002179
81,84306.9,0.80425,2.55058,0.00328,0.93887,0.91493,0.95416,0.75075,0.66965,2.3945,0.00407,0.000208,0.000208,0.000208
82,85338.5,0.80051,2.53219,0.00327,0.93792,0.91639,0.95417,0.7507,0.66965,2.3939,0.00407,0.0001981,0.0001981,0.0001981
83,1007.02,0.7946,2.51023,0.0032,0.94024,0.91321,0.95414,0.75063,0.66975,2.39163,0.00407,0.0001882,0.0001882,0.0001882
84,2002.04,0.79548,2.50855,0.00324,0.93933,0.91486,0.95429,0.75115,0.66961,2.38839,0.00408,0.0001783,0.0001783,0.0001783
85,3001.87,0.79706,2.50587,0.00324,0.94078,0.91355,0.95437,0.7512,0.66942,2.38569,0.00407,0.0001684,0.0001684,0.0001684
86,3998.5,0.79709,2.5088,0.00324,0.94036,0.91334,0.95416,0.75155,0.66942,2.38607,0.00407,0.0001585,0.0001585,0.0001585
87,4998.08,0.7948,2.50572,0.00322,0.94022,0.91392,0.9543,0.75136,0.66971,2.38589,0.00408,0.0001486,0.0001486,0.0001486
88,5994.66,0.79404,2.50064,0.00323,0.94121,0.91325,0.95434,0.75153,0.67023,2.38326,0.00409,0.0001387,0.0001387,0.0001387
89,6994.15,0.79198,2.48044,0.00321,0.93687,0.91704,0.95417,0.7512,0.66936,2.38948,0.00408,0.0001288,0.0001288,0.0001288
90,7995.84,0.78975,2.46599,0.0032,0.93812,0.916,0.95422,0.75121,0.66909,2.38666,0.00407,0.0001189,0.0001189,0.0001189
91,8987.92,0.70433,1.89832,0.00306,0.94056,0.91458,0.95551,0.75142,0.66932,2.38707,0.00407,0.000109,0.000109,0.000109
92,9976.85,0.69915,1.86934,0.00303,0.94102,0.91407,0.95551,0.7511,0.66831,2.36608,0.00407,9.91e-05,9.91e-05,9.91e-05
93,10964.6,0.69561,1.85787,0.003,0.94387,0.91162,0.95542,0.75099,0.6688,2.36157,0.00407,8.92e-05,8.92e-05,8.92e-05
94,11948.4,0.69562,1.85143,0.00299,0.94163,0.91288,0.95555,0.75093,0.66876,2.36089,0.00406,7.93e-05,7.93e-05,7.93e-05
95,12931.2,0.69506,1.84374,0.003,0.9438,0.91061,0.95548,0.75092,0.66884,2.37091,0.00404,6.94e-05,6.94e-05,6.94e-05
96,13914.1,0.6923,1.83338,0.00299,0.94323,0.91104,0.95547,0.75098,0.66939,2.36519,0.00404,5.95e-05,5.95e-05,5.95e-05
97,14897.5,0.69147,1.8336,0.00298,0.94496,0.91083,0.95565,0.75125,0.66982,2.35706,0.00405,4.96e-05,4.96e-05,4.96e-05
98,15879.7,0.68861,1.82086,0.00295,0.9419,0.9122,0.95562,0.75077,0.67132,2.35871,0.00406,3.97e-05,3.97e-05,3.97e-05
99,16863.8,0.68775,1.80865,0.00294,0.94278,0.91193,0.95409,0.75034,0.67142,2.36151,0.00405,2.98e-05,2.98e-05,2.98e-05
100,17845.6,0.68631,1.809,0.00294,0.94173,0.91334,0.95422,0.75055,0.67183,2.35678,0.00405,1.99e-05,1.99e-05,1.99e-05
